ca,pro,muni,dist,seccen,idx
09,08,080193,08019301,08019301033,704
09,08,080193,08019301,08019301033,705
09,08,080193,08019301,08019301034,706
09,08,080193,08019301,08019301034,707
09,08,080193,08019301,08019301034,708
09,08,080193,08019301,08019301035,709
09,08,080193,08019301,08019301035,710
09,08,080193,08019301,08019301035,711
09,08,080193,08019301,08019301036,712
09,08,080193,08019301,08019301036,713
09,08,080193,08019301,08019301036,714
09,08,080193,08019301,08019301037,715
09,08,080193,08019301,08019301037,716
09,08,080193,08019301,08019301037,717
09,08,080193,08019301,08019301038,718
09,08,080193,08019301,08019301038,719
09,08,080193,08019301,08019301038,720
09,08,080193,08019301,08019301039,721
09,08,080193,08019301,08019301039,722
09,08,080193,08019301,08019301039,723
09,08,080193,08019301,08019301040,724
09,08,080193,08019301,08019301040,725
09,08,080193,08019301,08019301040,726
09,08,080193,08019301,08019301041,727
09,08,080193,08019301,08019301041,728
09,08,080193,08019301,08019301041,729
09,08,080193,08019301,08019301042,730
09,08,080193,08019301,08019301042,731
09,08,080193,08019301,08019301042,732
09,08,080193,08019301,08019301043,733
09,08,080193,08019301,08019301043,734
09,08,080193,08019301,08019301043,735
09,08,080193,08019301,08019301044,736
09,08,080193,08019301,08019301044,737
09,08,080193,08019301,08019301044,738
09,08,080193,08019301,08019301045,739
09,08,080193,08019301,08019301045,740
09,08,080193,08019301,08019301045,741
09,08,080193,08019301,08019301046,742
09,08,080193,08019301,08019301046,743
09,08,080193,08019301,08019301046,744
09,08,080193,08019301,08019301047,745
09,08,080193,08019301,08019301047,746
09,08,080193,08019301,08019301047,747
09,08,080193,08019301,08019301048,748
09,08,080193,08019301,08019301048,749
09,08,080193,08019301,08019301048,750
09,08,080193,08019301,08019301049,751
09,08,080193,08019301,08019301049,752
09,08,080193,08019301,08019301049,753
09,08,080193,08019301,08019301050,754
09,08,080193,08019301,08019301050,755
09,08,080193,08019301,08019301050,756
09,08,080193,08019301,08019301051,757
09,08,080193,08019301,08019301051,758
09,08,080193,08019301,08019301051,759
09,08,080193,08019301,08019301052,760
09,08,080193,08019301,08019301052,761
09,08,080193,08019301,08019301052,762
09,08,080193,08019301,08019301053,763
09,08,080193,08019301,08019301053,764
09,08,080193,08019301,08019301053,765
09,08,080193,08019301,08019301054,766
09,08,080193,08019301,08019301054,767
09,08,080193,08019301,08019301054,768
09,08,080193,08019301,08019301055,769
09,08,080193,08019301,08019301055,770
09,08,080193,08019301,08019301055,771
09,08,080193,08019302,08019302001,772
